ID	Document Title	Authors	Publication Title	Publication Date	Abstract	Keywords							
11	The Axiom General Purpose Game Playing System	Schmidt, G.	Computational Intelligence and AI in Games, IEEE Transactions on	20141211	A general game playing system, Axiom, was developed to overcome the limitations inherent in an existing commercial general purpose game playing system which incorporates a generic AI. Axiom extends the range of possible games via an extensible language, thereby allowing for a high degree of game-specific customization within the AI as well as in defining complex game behaviors. This paper provides an overview of the Axiom system and discusses some important aspects of the customizable AI. It also answers the question ﾓCan a powerful game definition language be developed to enhance a popular general game platform?ﾔ	Abstract strategy game;UCT;alphaﾖbeta;axiom;general game playing;heuristic evaluation;negamax,Abstracts;Arrays;Artificial intelligence;Automatic generation control;Engines;Games;Programming							
12	A Fast Hybrid Method for EM Analysis of Electrically Large Metal Space Frame Radomes	Yuyuan An; Rushan Chen	Antennas and Wireless Propagation Letters, IEEE	20140620	This letter proposes a fast hybrid method that combines the physical optics (PO) method and aperture integration-surface integration (AI-SI) method for electromagnetic (EM) radiation analysis of electrically large metal space fame radomes. First, the magnetic or/and electric fields on the surface of the metal space frame and inner surface of the dielectric radome are calculated by the Stratton-Chu equation. Second, the scattering fields from the metal space frame are calculated by the PO method, and the transmitted fields on the outer surface of the dielectric radome are determined by the transmission coefficient calculated by the network theory. To accelerate the implementation of the procedure, an efficient parallelization scheme is adopted, and the Lagrange interpolation is used to calculate the transmission coefficients. Numerical results demonstrate that there is a good agreement between the proposed method and the numerical method, and the computation can be accelerated by 3.9 times with interpolation.	Electromagnetic radiation;Lagrange interpolation;hybrid method;metal space frame radome (MSFR);parallel computation,Antenna radiation patterns;Apertures;Dielectrics;Interpolation;Metals,electromagnetic wave scattering;interpolation;physical optics;radomesAI-SI method;EM analysis;Lagrange interpolation;PO method;Stratton-Chu equation;aperture integration-surface integration method;dielectric radome;electric fields;electrically large metal space frame radomes;electromagnetic radiation analysis;electromagnetic scattering fields;fast hybrid method;magnetic fields;network theory;parallelization scheme;physical optics method							
13	An Automatically Generated Evaluation Function in General Game Playing	Waledzik, K.; Mandziuk, J.	Computational Intelligence and AI in Games, IEEE Transactions on	20140911	General game-playing (GGP) competitions provide a framework for building multigame-playing agents. In this paper, we describe an attempt at the implementation of such an agent. It relies heavily on our knowledge-free method of automatic construction of an approximate state evaluation function, based on game rules only. This function is then employed by one of the two game tree search methods: MTD (f) or guided upper confidence bounds applied to trees (GUCT), the latter being our proposal of an algorithm combining UCT with the usage of an evaluation function. The performance of our agent is very satisfactory when compared to a baseline UCT implementation.	Autonomous game playing;MTD;evaluation function;general game playing (GGP);upper confidence bounds applied to trees (UCT),Algorithm design and analysis;Approximation algorithms;Buildings;Correlation;Games;Law;Stability analysis,computer games;multi-agent systems;trees (mathematics)GGP competitions;GUCT;approximate state evaluation function;automatically generated evaluation function;game rules;game tree search methods;general game playing;guided upper confidence bounds applied to trees;knowledge-free method;multigame-playing agents							
14	Dynamic Evolution of 50-Hz Rotating Gliding Arc Discharge in a Vortex Air Flow	Tian-Liang Zhao; Jing-Lin Liu; Xiao-Song Li; Jin-Bao Liu; Yuan-Hong Song; Yong Xu; Ai-Min Zhu	Plasma Science, IEEE Transactions on	20141021	A 50-Hz rotating (annular-mode) gliding arc plasma in a vortex air flow is generated. Its dynamic evolution has been investigated through the electrical measurements and highspeed imaging, which shows that the arc is formed after several breakdowns of the gas and then glides stably with a low-discharge current. The intensity of the light emitting from the arc root at the cathode is remarkably higher than that at other areas during the arc gliding.	Gas breakdown;gliding arc;vortex flow;vortex flow.,Arc discharges;Discharges (electric);Electrodes;Inductors;Plasmas;Pollution measurement,air;arcs (electric);plasma diagnostics;plasma flow;vorticesannular-mode gliding arc plasma;arc gliding;dynamic evolution;electrical measurements;frequency 50 Hz;high-speed imaging;low-discharge current;rotating gliding arc discharge;vortex air flow							
15	Security and Reliability Performance Analysis for Cloud Radio Access Networks With Channel Estimation Errors	Jia You; Zhangdui Zhong; Gongpu Wang; Bo Ai	Access, IEEE	20141126	Physical layer (PHY) security is recently regarded as a promising technique to improve the security performance of wireless communication networks. Current developments in PHY security are often based on the assumption of perfect channel state information (CSI). In this paper, both security and reliability performance for the downlink cloud radio access network with optimal remote radio heads (RRHs) node selection are investigated in a practical scenario by considering channel estimation (CE) errors. In particular, a three-phase transmission scheme is proposed and the linear minimum mean-square error (MMSE) estimation method is utilized to obtain the CSI. Based on the CSI estimates and the statistics of CE errors, the outage probability and intercept probability are derived in closed-form expression to evaluate the security and reliability performance, respectively. In addition, two possible cases (with or without intercepting signals from baseband unit) are considered for the eavesdropper. It is found that the suggested optimal RRHs selection scheme outperforms the nonselection scheme, and that the increasing number of RRHs can lower the outage probability as well as the intercept probability. It is also shown that there exists an optimal training number to minimize the sum of the outage probability and intercept probability. Finally, simulation results are provided to corroborate our proposed studies.	Channel estimation error;intercept probability;outage probability;outage probability.;remote radio head selection;secure wireless communication;security-reliability performance analysis,Channel capacity;Channel estimation;Decoding;Network security;Performance evaluation;Power outages;Signal to noise ratio;Wireless communication,channel estimation;cloud computing;mean square error methods;radio access networks;telecommunication network reliability;telecommunication securityCE errors;CSI;MMSE estimation method;PHY security;baseband unit;channel estimation errors;closed-form expression;downlink cloud radio access network;eavesdropper;intercept probability;linear minimum mean-square error estimation method;node selection;optimal RRH selection scheme;optimal remote radio heads;outage probability;perfect channel state information;physical layer security;reliability performance analysis;security performance analysis;three-phase transmission scheme;wireless communication networks							
16	Consensus of a leader-following multi-agent system with negative weights and noises	Ai-Hua Hu; Jin-De Cao; Man-Feng Hu; Liu-Xiao Guo	Control Theory & Applications, IET	20140102	This study is concerned with the issue of mean-square consensus for a model of leader-following multi-agent system. The agents acting as followers update states based on the information received from the time varying neighbours and the virtual leader. Negative weights besides positive weights are introduced for the links existing among the agents. Moreover, all followers considered here are influenced by noises with different intensities emerging from the external environment or transmission channels. In order to guarantee consensus of the multi-agent system under the noises, the corresponding sufficient conditions are derived. Theoretical proofs are given mainly by using the Lyapunov function approach and the stochastic analysis. Finally, some numerical examples are presented to demonstrate the effectiveness of the results.	Lyapunov methods;mean square error methods;multi-agent systems;multi-robot systems;stochastic systems;time-varying systemsLyapunov function approach;leader-following multiagent system;mean-square consensus;negative noises;negative weights;positive weights;stochastic analysis;time varying neighbours;transmission channels;virtual leader							
17	Physics-Based Simulation Games		Computational Intelligence and AI in Games, IEEE Transactions on	20140911	Describes the above-named upcoming special issue or section. May include topics to be covered or calls for papers.								
18	Thermal conductivity of graphene nanoribbons in noble gaseous environments	Zhong, Wei-Rong; Xu, Zhi-Cheng; Zheng, Dong-Qin; Ai, Bao-Quan	Applied Physics Letters	20140303	We investigate the thermal conductivity of suspended graphene nanoribbons in noble gaseous environments using molecular dynamics simulations. It is reported that the thermal conductivity of perfect graphene nanoribbons decreases with the gaseous pressure. The decreasing is more obvious for the noble gas with large atomic number. However, the gaseous pressure cannot change the thermal conductivity of defective graphene nanoribbons apparently. The phonon spectra of graphene nanoribbons are also provided to give corresponding supports.								
19	In-Fiber Modal Interferometer Based on Coaxial Dual-Waveguide Fiber for Temperature Sensing	Ai Zhou; Quan Xu; Tuo Zheng; Jun Yang; Yuanyuan Yang; Libo Yuan	Photonics Technology Letters, IEEE	20140110	An in-fiber modal interferometer based on coaxial dual-waveguide optical fiber was demonstrated for temperature sensing. The modal interferometer is composed of a coaxial fiber, which is sandwiched in between two single mode fibers with small lateral core-offsets. Such a modal interferometer is insensitive to external refractive index (RI) and can work when the surrounding RI is larger than the RI of the fiber cladding. It has high temperature sensitivity of 78 pm/ﾰC and low cross-sensitivity to strain of 0.004 ﾰC/??.	Optical fiber sensors;modal interferometers;refractive index;strain;temperature,Interference;Optical fiber sensors;Optical interferometry;Sensitivity;Temperature measurement;Temperature sensors,fibre optic sensors;light interferometers;optical waveguides;refractive index;temperature sensorscoaxial dual-waveguide fiber;external refractive index;fiber cladding;high temperature sensitivity;in-fiber modal interferometer;low strain cross-sensitivity;single mode fibers;small lateral core-offsets;temperature sensing							
20	Multifunctional Optical Filter Using Direct-Coupled and Cross-Coupled All-Pass Filters	Dingel, B.	Photonics Technology Letters, IEEE	20140320	We present a multifunction optical filter that operate as: 1) symmetric interleaver (SI); 2) asymmetric interleaver (AI); 3) dual-wavelength, channel passing add-drop filter (ADF); and 4) dual-wavelength, channel dropping ADF. The new filter is a pair of direct-coupled all-pass-filter (APF) and cross-coupled APF positioned in each of the two arms of a Mach-Zehnder interferometer (MZI). Depending on the MZI's path length difference and the values of the coupler's coefficients, these four functions are demonstrated. The interleaver has a superior flat-top profile, low ripple value ( -0.095 dB for SI, -0.075 dB for AI), and high extinction ratio . The effect on waveguide losses on flat-top, ripple, slope, and SNR are also investigated.	All-pass filter (APF);cross-coupled APF;direct-coupled APF;multifunction optical filter;optical interleaver;photonics integrated circuits,Artificial intelligence;Optical fiber filters;Optical fibers;Optical ring resonators;Silicon,Mach-Zehnder interferometers;all-pass filters;optical couplers;optical losses;optical waveguide filters;optical waveguidesMZI path length;Mach-Zehnder interferometer;SNR;asymmetric interleaver;coupler coefficients;cross-coupled all-pass filters;direct-coupled all-pass filters;dual-wavelength channel dropping ADF;dual-wavelength channel passing add-drop filter;extinction ratio;multifunctional optical filter;symmetric interleaver;waveguide losses							
21	Optimal asset network planning for counter piracy operation support, part 1: Under the hood	Grasso, R.; Braca, P.; Osler, J.; Hansen, J.; Willett, P.	Aerospace and Electronic Systems Magazine, IEEE	20140627	This work proposes a system to allocate surveillance resources in areas of high piracy risk when the satellite AIS coverage is low, resulting in an improved maritime traffic situational awareness. The system is based on multiobjective optimization algorithms providing solutions that are on the so-called Pareto optimal front. The solutions are a trade-off among different objectives, including surveillance risk, area coverage, and mission costs. In general, the inclusion of an objective in the multiobjective vector function is application dependent.	,International relations;Marine vehicles;Piracy;Satellites;Sensors;Surveillance,marine engineering;optimisationPareto optimal front;area coverage;counter piracy operation support;improved maritime traffic situational awareness;mission costs;multiobjective optimization algorithms;optimal asset network planning;resource allocation;satellite AIS coverage;surveillance risk							
22	Electrical characterization of H2S adsorption on hexagonal WO3 nanowire at room temperature	Liu, Binquan; Tang, Dongsheng; Zhou, Yong; Yin, Yanling; Peng, Yuehua; Zhou, Weichang; Qin, Zhu'ai; Zhang, Yong	Journal of Applied Physics	20141030	We have characterized the electrical transport properties of Au/WO3 nanowire/Au devices in ambient air and gaseous H2S to investigate the adsorption kinetics of H2S molecules on the surface of WO3 nanowire at room temperature. The WO3 nanowire devices exhibit increasing linear conductance and electrical hysteresis in H2S. Furthermore, the contact type between Au electrode and WO3 nanowire can be converted from original ohmic/Schottky to Schottky/ohmic after being exposed to H2S. These results suggest that adsorbed H2S molecules are oxidized by holes to form hydrogen ions and S atoms, which will result in formation of hydrogen tungsten bronze and desorption of previously chemically adsorbed H2O molecules. Adsorbed H2S molecules can also oxidize previously adsorbed and ionized oxygen, which will release the electrons from the ionized oxygen and then weaken upward band bending at the surface of WO3 nanowire.								
23	Enhanced spin polarization in graphene with spin energy gap induced by spin-orbit coupling and strain	Liu, Zheng-Fang; Wu, Qing-Ping; Chen, Ai-Xi; Xiao, Xian-Bo; Liu, Nian-Hua	Journal of Applied Physics	20140602	We investigate the possibility of spin polarization in graphene. The result shows that a spin energy gap can be opened in the presence of both spin-orbit coupling and strain. We find that high spin polarization with large spin-polarized current is achieved in the spin energy gap. However, only one of the two modulations is present, no spin polarization can be generated. So the combination of the two modulations provides a way to design tunable spin polarization without need for a magnetic element or an external magnetic field.								
24	An Introduction to Constraint-Based Temporal Reasoning		An Introduction to Constraint-Based Temporal Reasoning	20140702	Solving challenging computational problems involving time has been a critical component in the development of artificial intelligence systems almost since the inception of the field. This book provides a concise introduction to the core computational elements of temporal reasoning for use in AI systems for planning and scheduling, as well as systems that extract temporal information from data. It presents a survey of temporal frameworks based on constraints, both qualitative and quantitative, as well as of major temporal consistency techniques. The book also introduces the reader to more recent extensions to the core model that allow AI systems to explicitly represent temporal preferences and temporal uncertainty. This book is intended for students and researchers interested in constraint-based temporal reasoning. It provides a self-contained guide to the different representations of time, as well as examples of recent applications of time in AI systems.								
25	IEEE Computational Intelligence Society Information		Computational Intelligence and AI in Games, IEEE Transactions on	20141211	Provides a listing of current committee members and society officers.								
26	Stable organic field-effect-transistors with high mobilities unaffected by supporting dielectric based on phenylene-bridged thienobenzothiophene	Mathis, T.; Liu, Y.; Ai, L.; Ge, Z.; Lumpi, D.; Horkel, E.; Holzer, B.; Froehlich, J.; Batlogg, B.	Journal of Applied Physics	20140130	We report on the electrical properties of organic field-effect transistors (OFET) based on a new class of organic semiconductors. The molecules consist of the same thieno[2,3-b][1]benzothiophene building blocks, connected by different ?-bridge spacers (ethylene, phenylene, and fluorophenylene). Molecular orbitals and highest occupied molecular orbital/lowest unoccupied molecular orbital energies were calculated and compared with results from cyclic voltammetric and UV-vis absorption measurements. In order to study the influence of the bridge groups on the molecular arrangement and surface interaction, the transistor performance on a wide range of dielectrics has been investigated in detail. These include as grown SiO2 and Al2O3 and also treated with octadecyltrichrolosilane and octadecylphosphonic acid, as well as Cytop and Parylene C. An extended study of the multitude of combinations of these materials revealed mobilities up to ?1 cm2/Vs, measured for devices made of the phenylene-bridged compound. Surprisingly, the mobility was quite independent of the supporting gate dielectric. Stability over time has been observed with no degradation after 5 months. By eliminating the hysteresis using Cytop, we were able to show that some of the molecules form films without long-term charge carrier trapping. These are interesting features for practical industrial processing of organic electronics.								
27	IEEE Transactions on Computational Intelligence and AI in Games publication information		Computational Intelligence and AI in Games, IEEE Transactions on	20140911	Provides a listing of current staff, committee members and society officers.								
28	An Anarchy of Methods: Current Trends in How Intelligence Is Abstracted in AI	Lehman, Joel; Clune, Jeff; Risi, Sebastian	Intelligent Systems, IEEE	20141211	"Artificial intelligence (AI) is a sprawling field encompassing a diversity of approaches to machine intelligence and disparate perspectives on how intelligence should be viewed. Because researchers often engage only within their own specialized area of AI, there are many interesting broad questions about AI as a whole that often go unanswered. How should intelligence be abstracted in AI research? Which subfields, techniques, and abstractions are most promising? Why do researchers bet their careers on the particular abstractions and techniques of their chosen subfield of AI? Should AI research be ""bio-inspired"" and remain faithful to the process that produced intelligence (evolution) or the biological substrate that enables it (networks of neurons)? Discussing these big-picture questions motivated us to organize an AAAI Fall Symposium, which gathered participants across AI subfields to present and debate their views. This article distills the resulting insights."	AI;adaptive systems;artificial intelligence;cognitive science;computational neuroscience;deep learning;design automation;developmental robotics;evolving neural networks;intelligent systems;neuroevolution,Adaptive systems;Artificial intelligence;Biological system modeling;Brain modeling;Computational modeling;Design methodology;Neural networks;Neuroscience;Robots							
29	Table of contents		Computational Intelligence and AI in Games, IEEE Transactions on	20140612	Presents the front cover/table of contents for this issue of the periodical.								
30	Dual-Wavelength Harmonically Mode-Locked Fiber Laser With Topological Insulator Saturable Absorber	Meng Liu; Nian Zhao; Hao Liu; Xu-Wu Zheng; Ai-Ping Luo; Zhi-Chao Luo; Wen-Cheng Xu; Chu-Jun Zhao; Han Zhang; Shuang-Chun Wen	Photonics Technology Letters, IEEE	20140422	Dual-wavelength passively harmonic mode locking (HML) operation is demonstrated in an erbium-doped fiber laser with a microfiber-based topological insulator (TI) saturable absorber. It was found that the dual-wavelength pulse-trains possess different HML orders due to the different cavity nonlinear effects experienced by the two wavelengths. By properly adjusting the cavity parameters, dual-wavelength HML pulses with repetition rates of 388 and 239 MHz were achieved. Moreover, wavelength switchable operation of dual-wavelength HML pulses was also obtained. The experimental results reveal that the microfiber-based TI could indeed be employed as a high-performance dual-function photonic device with the saturable absorption and high nonlinear effects for the applications in fields of ultrafast and nonlinear photonics.	Fiber lasers;multiwavelength;passive mode-locking;topological insulator,Cavity resonators;Erbium-doped fiber lasers;Laser mode locking;Optical fiber devices;Optical fiber polarization,erbium;fibre lasers;laser mode locking;micro-optics;optical saturable absorption;topological insulatorscavity nonlinear effects;dual-function photonic device;dual-wavelength HML pulses;dual-wavelength harmonically mode-locked fiber laser;dual-wavelength pulse-trains;erbium-doped fiber laser;frequency 239 MHz;frequency 388 MHz;harmonic mode locking;microfiber-based topological insulator saturable absorber;nonlinear photonics;ultrafast photonics							
